@relation Mall_Customers_clustered

@attribute Instance_number numeric
@attribute CustomerID numeric
@attribute Gender {Male,Female}
@attribute Age numeric
@attribute 'Annual Income (k$)' numeric
@attribute 'Spending Score (1-100)' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
87,88,Female,22,57,55,cluster2
88,89,Female,34,58,60,cluster2
89,90,Female,50,58,46,cluster3
90,91,Female,68,59,55,cluster3
91,92,Male,18,59,41,cluster0
92,93,Male,48,60,49,cluster4
93,94,Female,40,60,40,cluster3
94,95,Female,32,60,42,cluster2
95,96,Male,24,60,52,cluster0
96,97,Female,47,60,47,cluster3
97,98,Female,27,60,50,cluster2
98,99,Male,48,61,42,cluster4
99,100,Male,20,61,49,cluster0
100,101,Female,23,62,41,cluster2
101,102,Female,49,62,48,cluster3
102,103,Male,67,62,59,cluster4
103,104,Male,26,62,55,cluster0
104,105,Male,49,62,56,cluster4
105,106,Female,21,62,42,cluster2
106,107,Female,66,63,50,cluster3
107,108,Male,54,63,46,cluster4
108,109,Male,68,63,43,cluster4
109,110,Male,66,63,48,cluster4
110,111,Male,65,63,52,cluster4
111,112,Female,19,63,54,cluster2
112,113,Female,38,64,42,cluster1
113,114,Male,19,64,46,cluster0
114,115,Female,18,65,48,cluster2
115,116,Female,19,65,50,cluster2
116,117,Female,63,65,43,cluster3
117,118,Female,49,65,59,cluster1
118,119,Female,51,67,43,cluster3
119,120,Female,50,67,57,cluster1
120,121,Male,27,67,56,cluster0
121,122,Female,38,67,40,cluster1
122,123,Female,40,69,58,cluster1
123,124,Male,39,69,91,cluster0
124,125,Female,23,70,29,cluster1
125,126,Female,31,70,77,cluster1
126,127,Male,43,71,35,cluster0
127,128,Male,40,71,95,cluster0
128,129,Male,59,71,11,cluster0
129,130,Male,38,71,75,cluster0
130,131,Male,47,71,9,cluster0
131,132,Male,39,71,75,cluster0
132,133,Female,25,72,34,cluster1
133,134,Female,31,72,71,cluster1
134,135,Male,20,73,5,cluster0
135,136,Female,29,73,88,cluster1
136,137,Female,44,73,7,cluster1
137,138,Male,32,73,73,cluster0
138,139,Male,19,74,10,cluster0
139,140,Female,35,74,72,cluster1
140,141,Female,57,75,5,cluster3
141,142,Male,32,75,93,cluster0
142,143,Female,28,76,40,cluster1
143,144,Female,32,76,87,cluster1
144,145,Male,25,77,12,cluster0
145,146,Male,28,77,97,cluster0
146,147,Male,48,77,36,cluster0
147,148,Female,32,77,74,cluster1
148,149,Female,34,78,22,cluster1
149,150,Male,34,78,90,cluster0
150,151,Male,43,78,17,cluster0
151,152,Male,39,78,88,cluster0
152,153,Female,44,78,20,cluster1
153,154,Female,38,78,76,cluster1
154,155,Female,47,78,16,cluster1
155,156,Female,27,78,89,cluster1
156,157,Male,37,78,1,cluster0
157,158,Female,30,78,78,cluster1
158,159,Male,34,78,1,cluster0
159,160,Female,30,78,73,cluster1
160,161,Female,56,79,35,cluster1
161,162,Female,29,79,83,cluster1
162,163,Male,19,81,5,cluster0
163,164,Female,31,81,93,cluster1
164,165,Male,50,85,26,cluster0
165,166,Female,36,85,75,cluster1
166,167,Male,42,86,20,cluster0
167,168,Female,33,86,95,cluster1
168,169,Female,36,87,27,cluster1
169,170,Male,32,87,63,cluster0
170,171,Male,40,87,13,cluster0
171,172,Male,28,87,75,cluster0
172,173,Male,36,87,10,cluster0
173,174,Male,36,87,92,cluster0
174,175,Female,52,88,13,cluster1
175,176,Female,30,88,86,cluster1
176,177,Male,58,88,15,cluster0
177,178,Male,27,88,69,cluster0
178,179,Male,59,93,14,cluster0
179,180,Male,35,93,90,cluster0
180,181,Female,37,97,32,cluster1
181,182,Female,32,97,86,cluster1
182,183,Male,46,98,15,cluster0
183,184,Female,29,98,88,cluster1
184,185,Female,41,99,39,cluster1
185,186,Male,30,99,97,cluster0
186,187,Female,54,101,24,cluster1
187,188,Male,28,101,68,cluster0
188,189,Female,41,103,17,cluster1
189,190,Female,36,103,85,cluster1
190,191,Female,34,103,23,cluster1
191,192,Female,32,103,69,cluster1
192,193,Male,33,113,8,cluster0
193,194,Female,38,113,91,cluster1
194,195,Female,47,120,16,cluster1
195,196,Female,35,120,79,cluster1
196,197,Female,45,126,28,cluster1
197,198,Male,32,126,74,cluster0
198,199,Male,32,137,18,cluster0
199,200,Male,30,137,83,cluster0
